[15:36:10] TfrmMain.GridData: No MCI device open
[15:36:30] TfrmMain.GridData: No MCI device open
[15:36:50] TfrmMain.GridData: No MCI device open
[15:37:10] TfrmMain.GridData: No MCI device open
[15:37:30] TfrmMain.GridData: No MCI device open
[15:37:50] TfrmMain.GridData: No MCI device open
[15:38:10] TfrmMain.GridData: No MCI device open
[15:38:30] TfrmMain.GridData: No MCI device open
[15:38:50] TfrmMain.GridData: No MCI device open
[15:39:10] TfrmMain.GridData: No MCI device open
[15:39:30] TfrmMain.GridData: No MCI device open
[15:39:50] TfrmMain.GridData: No MCI device open
[15:40:10] TfrmMain.GridData: No MCI device open
[15:40:30] TfrmMain.GridData: No MCI device open
[15:40:50] TfrmMain.GridData: No MCI device open
[15:41:10] TfrmMain.GridData: No MCI device open
[15:41:30] TfrmMain.GridData: No MCI device open
[15:41:50] TfrmMain.GridData: No MCI device open
[15:42:10] TfrmMain.GridData: No MCI device open
[15:42:30] TfrmMain.GridData: No MCI device open
[15:42:50] TfrmMain.GridData: No MCI device open
[15:43:10] TfrmMain.GridData: No MCI device open
[15:43:30] TfrmMain.GridData: No MCI device open
[15:43:50] TfrmMain.GridData: No MCI device open
[15:44:10] TfrmMain.GridData: No MCI device open
[15:44:30] TfrmMain.GridData: No MCI device open
[15:44:50] TfrmMain.GridData: No MCI device open
[15:45:10] TfrmMain.GridData: No MCI device open
[15:45:30] TfrmMain.GridData: No MCI device open
[15:45:50] TfrmMain.GridData: No MCI device open
[15:46:10] TfrmMain.GridData: No MCI device open
[15:46:30] TfrmMain.GridData: No MCI device open
[15:46:50] TfrmMain.GridData: No MCI device open
[15:47:10] TfrmMain.GridData: No MCI device open
[15:47:30] TfrmMain.GridData: No MCI device open
[15:47:50] TfrmMain.GridData: No MCI device open
[15:48:10] TfrmMain.GridData: No MCI device open
[15:48:30] TfrmMain.GridData: No MCI device open
[15:48:50] TfrmMain.GridData: No MCI device open
[15:49:10] TfrmMain.GridData: No MCI device open
[15:49:30] TfrmMain.GridData: No MCI device open
[15:49:50] TfrmMain.GridData: No MCI device open
[15:50:10] TfrmMain.GridData: No MCI device open
[15:50:30] TfrmMain.GridData: No MCI device open
[15:50:50] TfrmMain.GridData: No MCI device open
[15:51:10] TfrmMain.GridData: No MCI device open
[15:51:30] TfrmMain.GridData: No MCI device open
[15:51:50] TfrmMain.GridData: No MCI device open
[15:52:10] TfrmMain.GridData: No MCI device open
[15:52:30] TfrmMain.GridData: No MCI device open
[15:52:50] TfrmMain.GridData: No MCI device open
[15:53:10] TfrmMain.GridData: No MCI device open
[15:53:30] TfrmMain.GridData: No MCI device open
[15:53:50] TfrmMain.GridData: No MCI device open
[15:54:10] TfrmMain.GridData: No MCI device open
[15:54:30] TfrmMain.GridData: No MCI device open
[15:54:50] TfrmMain.GridData: No MCI device open
[15:55:10] TfrmMain.GridData: No MCI device open
[15:55:30] TfrmMain.GridData: No MCI device open
[15:55:50] TfrmMain.GridData: No MCI device open
[15:56:10] TfrmMain.GridData: No MCI device open
[15:56:30] TfrmMain.GridData: No MCI device open
[15:56:50] TfrmMain.GridData: No MCI device open
[15:57:10] TfrmMain.GridData: No MCI device open
[15:57:30] TfrmMain.GridData: No MCI device open
[15:57:50] TfrmMain.GridData: No MCI device open
[15:58:10] TfrmMain.GridData: No MCI device open
[15:58:30] TfrmMain.GridData: No MCI device open
[15:58:50] TfrmMain.GridData: No MCI device open
[15:59:10] TfrmMain.GridData: No MCI device open
[15:59:30] TfrmMain.GridData: No MCI device open
[15:59:50] TfrmMain.GridData: No MCI device open
[16:00:10] TfrmMain.GridData: No MCI device open
[16:00:30] TfrmMain.GridData: No MCI device open
[16:00:50] TfrmMain.GridData: No MCI device open
[16:01:10] TfrmMain.GridData: No MCI device open
[16:01:30] TfrmMain.GridData: No MCI device open
[16:01:50] TfrmMain.GridData: No MCI device open
[16:02:10] TfrmMain.GridData: No MCI device open
[16:02:30] TfrmMain.GridData: No MCI device open
[16:02:50] TfrmMain.GridData: No MCI device open
[16:03:10] TfrmMain.GridData: No MCI device open
[16:03:30] TfrmMain.GridData: No MCI device open
[16:03:50] TfrmMain.GridData: No MCI device open
[16:04:10] TfrmMain.GridData: No MCI device open
[16:04:30] TfrmMain.GridData: No MCI device open
[16:04:50] TfrmMain.GridData: No MCI device open
[16:05:10] TfrmMain.GridData: No MCI device open
[16:05:30] TfrmMain.GridData: No MCI device open
[16:05:50] TfrmMain.GridData: No MCI device open
[16:06:10] TfrmMain.GridData: No MCI device open
